6.071556	6.071556	0
9.691137	9.691137	
17.599019	17.599019	0
21.590112	21.590112	
23.575043	23.575043	0
27.491834	27.491834	
31.515552	31.515552	0
35.416048	35.416048	
39.487675	39.487675	0
43.459650	43.459650	0
47.342366	47.342366	
51.483931	51.483931	0
55.402350	55.402350	
59.490360	59.490360	0
63.498038	63.498038	
71.861499	71.861499	0
75.815622	75.815622	
79.921483	79.921483	0
83.911309	83.911309	
88.035022	88.035022	0
92.051626	92.051626	
94.086705	94.086705	0
98.192566	98.192566	
102.262724	102.262724	0
106.323957	106.323957	
110.428003	110.428003	0
114.480954	114.480954	0
118.429600	118.429600	
124.449324	124.449324	
126.386790	126.386790	
130.506654	130.506654	0
134.458179	134.458179	
138.449506	138.449506	0
142.392172	142.392172	
146.472234	146.472234	0
150.503498	150.503498	
154.552483	154.552483	0
158.521728	158.521728	
162.136576	162.136576	0
165.937483	165.937483	
5.073782	5.073782	0
7.822966	7.822966	
16.548173	16.548173	0
19.626409	19.626409	
25.538746	25.538746	
30.455223	30.455223	0
33.459489	33.459489	
38.416581	38.416581	0
41.442422	41.442422	
45.405471	45.405471	
50.403911	50.403911	0
53.411900	53.411900	
58.446043	58.446043	0
61.552217	61.552217	
70.763627	70.763627	0
73.860875	73.860875	
78.895018	78.895018	0
81.885156	81.885156	
86.981780	86.981780	0
90.016547	90.016547	
96.157487	96.157487	
101.191630	101.191630	0
104.253174	104.253174	
109.358724	109.358724	0
112.379976	112.379976	
116.477628	116.477628	
118.921319	118.921319	
120.931935	120.931935	0
121.924246	121.924246	
122.889978	122.889978	
123.953168	123.953168	
129.408024	129.408024	0
132.446977	132.446977	
137.381954	137.381954	0
140.407549	140.407549	
145.435623	145.435623	0
148.447997	148.447997	
153.524732	153.524732	0
156.616845	156.616845	
161.206284	161.206284	0
163.997160	163.997160	
