6.018430	6.018430	0
9.487206	9.487206	
15.609423	15.609423	0
19.545618	19.545618	
23.533672	23.533672	0 
27.469798	27.469798	
33.514192	33.514192	
35.425134	35.425134	
39.527429	39.527429	0
43.515483	43.515483	
47.659320	47.659320	0
51.595446	51.595446	
55.614657	55.614657	0
59.478084	59.478084	
63.497295	63.497295	0
67.329565	67.329565	
71.359161	71.359161	0
75.305673	75.305673	
81.412380	81.412380	0
85.275807	85.275807	
93.418084	93.418084	0
97.364595	97.364595	
103.429761	103.429761	0
107.376272	107.376272	
112.330183	112.330183	0
115.324547	115.324547	
121.341179	121.341179	0
125.353979	125.353979	
131.440672	131.440672	
135.502558	135.502558	0
145.467065	145.467065	
147.418242	147.418242	
151.480129	151.480129	0
155.480657	155.480657	
159.137582	159.137582	0
162.904950	162.904950	
4.953911	4.953911	0
7.643770	7.643770	
17.605749	17.605749	
22.505502	22.505502	0
25.517313	25.517313	
30.024645	30.024645	0
31.042429	31.042429	
31.997901	31.997901	
33.046842	33.046842	0
38.436946	38.436946	0
41.573384	41.573384	
46.620765	46.620765	0
49.559877	49.559877	
54.607258	54.607258	0
57.577527	57.577527	
65.387466	65.387466	
70.330991	70.330991	0
73.322031	73.322031	
80.373824	80.373824	0
83.364865	83.364865	
92.369143	92.369143	0
95.401725	95.401725	
102.401590	102.401590	0
105.434173	105.434173	
111.374712	111.374712	0
113.354434	113.354434	
120.334911	120.334911	0
123.316900	123.316900	
129.464951	129.464951	
134.422661	134.422661	0
137.490551	137.490551	
139.466272	139.466272	
139.993949	139.993949	
140.975674	140.975674	
142.350088	142.350088	
150.498404	150.498404	0
153.504936	153.504936	
158.131314	158.131314	0
160.978316	160.978316	
